feature
recency_days
frequency
monetary_value
recency_score
frequency_score
monetary_score
rfm_score
customer_lifetime_value
total_sessions
avg_session_duration
total_page_views
purchase_events
add_to_cart_events
total_search_queries
product_views
unique_products_viewed
engagement_score
cart_behavior
session_intensity
conversion_efficiency
purchase_velocity
engagement_score_normalized
session_intensity
conversion_efficiency
search_intensity
product_exploration
cart_behavior
rfm_composite
value_engagement_ratio
churn_risk
upsell_potential
lifetime_value_potential
is_high_value
is_engaged
is_mobile_user
is_return_visitor
